Detector Type, Image No., No. of Keypoints, Neighbourhood Size
SHITOMASI, 0, 125, 4
SHITOMASI, 1, 118, 4
SHITOMASI, 2, 123, 4
SHITOMASI, 3, 120, 4
SHITOMASI, 4, 120, 4
SHITOMASI, 5, 113, 4
SHITOMASI, 6, 114, 4
SHITOMASI, 7, 123, 4
SHITOMASI, 8, 111, 4
SHITOMASI, 9, 112, 4
HARRIS, 0, 10, 6
HARRIS, 1, 13, 6
HARRIS, 2, 17, 6
HARRIS, 3, 17, 6
HARRIS, 4, 20, 6
HARRIS, 5, 18, 6
HARRIS, 6, 17, 6
HARRIS, 7, 25, 6
HARRIS, 8, 20, 6
HARRIS, 9, 19, 6
FAST, 0, 419, 7
FAST, 1, 427, 7
FAST, 2, 404, 7
FAST, 3, 423, 7
FAST, 4, 386, 7
FAST, 5, 414, 7
FAST, 6, 418, 7
FAST, 7, 406, 7
FAST, 8, 396, 7
FAST, 9, 401, 7
BRISK, 0, 264, 11.4444
BRISK, 1, 282, 16.5484
BRISK, 2, 282, 13.0737
BRISK, 3, 277, 11.6
BRISK, 4, 297, 12
BRISK, 5, 279, 12.1837
BRISK, 6, 289, 11.5455
BRISK, 7, 272, 13.625
BRISK, 8, 266, 10.5714
BRISK, 9, 254, 8.4
ORB, 0, 92, 31
ORB, 1, 102, 31
ORB, 2, 106, 31
ORB, 3, 113, 31
ORB, 4, 109, 31
ORB, 5, 125, 31
ORB, 6, 130, 31
ORB, 7, 129, 31
ORB, 8, 127, 31
ORB, 9, 128, 31
AKAZE, 0, 166, 4.8
AKAZE, 1, 157, 4.8
AKAZE, 2, 161, 4.8
AKAZE, 3, 155, 4.8
AKAZE, 4, 163, 4.8
AKAZE, 5, 164, 4.8
AKAZE, 6, 173, 4.8
AKAZE, 7, 175, 4.8
AKAZE, 8, 177, 4.8
AKAZE, 9, 179, 4.8
SIFT, 0, 138, 2.01391
SIFT, 1, 132, 4.96952
SIFT, 2, 124, 5.10361
SIFT, 3, 137, 2.99994
SIFT, 4, 134, 3.31251
SIFT, 5, 140, 2.02517
SIFT, 6, 137, 3.03294
SIFT, 7, 148, 1.86607
SIFT, 8, 159, 2.09693
SIFT, 9, 137, 2.08918
